Timestamp,Plant_ID,Soil_Moisture,Ambient_Temperature,Soil_Temperature,Humidity,Light_Intensity,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Chlorophyll_Content,Electrochemical_Signal,Plant_Health_Status
54:53.4,1,0.27820549,-0.511071736,0.662548701,0.049942287,-0.247305291,-1.619490763,-1.745910195,1.355417852,0.768258954,0.108750467,-0.080612541,2
54:53.4,1,-1.183645704,-0.66608339,-0.435494762,1.035412928,-0.07226974,1.051305823,0.052613365,-0.424710625,-1.042781458,-0.770651191,-1.43078051,2
54:53.4,1,-0.924269447,-0.818868042,-1.556869633,1.478078067,-0.094221911,-1.490746396,-0.066850979,-0.234640992,0.479465301,1.014796588,0.163383401,2
54:53.4,1,-1.125958934,-0.408485565,0.961981419,0.379929184,-1.625905107,-1.615076244,-1.141191458,-0.35613796,-0.330332082,0.352287634,0.344842421,2
54:53.4,1,1.695755284,1.432451986,-0.633291573,1.015248279,-0.736441313,-1.038916267,-1.664159406,0.665782256,0.64641243,1.541716482,1.081593691,2
54:53.4,1,0.472640788,0.106079389,0.88461531,-0.963054609,-0.50983186,-0.629424849,-1.741006287,-1.277929171,-0.713863251,1.175156387,-1.657861417,2
54:53.4,1,-1.008963595,-0.283660522,-0.684650959,0.23370135,-0.692006153,0.947937829,-0.182020949,0.200587691,0.841832028,1.652030701,0.495825464,2
54:53.4,1,0.945037891,-1.104133887,-1.248118294,0.167679678,-0.687364573,-0.720342479,-1.236310799,-1.727615582,-0.450661954,-0.094036016,1.19590047,1
54:53.4,1,-1.427124273,0.426700392,-1.113464136,-0.831993226,0.098194994,-0.062277321,1.348206099,1.49951388,-1.513543618,1.482920764,0.702526367,2
54:53.4,1,-1.366980013,1.056949217,1.249073714,1.225123116,-0.960890798,-1.622649169,1.243334472,0.832541883,0.728562677,0.09854319,-0.043912993,2
54:53.4,1,-0.012440808,0.561226009,0.927882084,0.224381992,-0.571070956,-1.478037572,1.480319654,-0.052309826,1.175181785,0.206685315,0.930130468,1
54:53.4,1,0.749008865,-0.001302288,-1.301103948,0.418690708,0.660921907,-0.42198607,0.772039647,0.532292905,1.204463247,1.639685551,1.547043844,0
54:53.4,1,-0.182175909,-1.452433425,0.827569023,0.33022174,-0.77200189,1.374067009,0.657830654,0.308169868,-1.38710294,1.121333031,1.690308511,1
54:53.4,1,-0.411585063,-1.237653446,-0.147284531,-0.836058647,0.488399858,0.368526198,-0.598977051,-0.822096554,1.517378808,-0.838716915,1.292549095,1
54:53.4,1,-0.152854518,0.723991608,-0.727751475,-1.021451571,-0.225642867,-1.189370493,-0.82525296,-0.731818154,1.070902391,0.828743329,1.737974685,1
54:53.4,1,0.347538128,0.957903724,-0.07025985,-0.317217116,-0.42676335,-1.00502908,0.686039927,1.458263898,-0.83502165,0.885526741,-0.576157904,1
54:53.4,1,-0.325632712,-1.375888162,1.342054726,-1.097216729,0.823801197,-0.788658224,1.145778814,-0.526366762,-0.991501605,0.625753387,0.531070972,1
54:53.4,1,-1.141068647,-0.106077337,0.954930183,-1.59538464,-0.829949203,-0.640029518,0.687425507,-0.023663501,1.671876691,0.964523421,0.96490661,2
54:53.4,1,1.628999835,1.567232523,-0.26233501,0.776002688,-1.791956151,-0.898935198,-0.910950956,-0.540847914,-0.462879404,0.248051689,-1.332288093,1
54:53.4,1,1.178066578,-0.472367943,-1.500387471,-1.614064271,-0.952390635,-0.866792854,-1.025218759,0.857822702,1.557580664,-0.912386799,0.147251534,1
54:53.4,1,1.416277462,1.283444198,1.263770427,1.006955795,0.538915488,-0.643320824,1.18062366,-0.592419661,-0.868532683,-0.63135823,0.565930152,0
54:53.4,1,1.456401521,-1.007758306,1.571772911,-0.864816484,-0.612556775,-0.48371165,0.277926664,-0.939946951,-1.456698139,1.118568674,-0.419256512,0
54:53.4,1,0.875220423,1.509103701,-1.200068329,0.907886783,-0.811869839,-0.12222695,-0.560855353,0.043712951,-0.520832679,-0.31903932,1.740094169,0
54:53.4,1,1.652441859,0.084432308,-0.070507394,-0.488480921,-1.283951976,0.752196004,0.99273278,0.09437635,-0.359993944,1.690100066,-0.685633229,0
54:53.4,1,1.666387109,0.450707254,-1.665462218,1.004647517,1.117145544,-0.992413164,0.613945305,1.237008536,-0.168848592,-0.005298232,-0.401972046,0
54:53.4,1,0.5115146,0.235381834,1.351003227,-1.460943167,1.360363889,0.134173718,-0.006934485,0.817697246,-1.101841185,1.296995608,0.987101542,1
54:53.4,1,-1.107082673,0.663551735,1.690149808,-1.661179582,0.282222464,-0.564788259,0.982978398,1.197994248,1.470463968,-0.289619077,-1.333517557,2
54:53.4,1,0.927612185,-1.443964743,0.773423016,-1.182076074,-1.194617929,-1.263757449,1.667034593,-0.721949063,-0.095703007,-0.458710353,0.974431308,0
54:53.4,1,0.655125912,0.343988077,-0.807027176,1.032852966,-0.384139468,-0.929745282,-1.432988571,-1.686796553,-0.32686085,-1.120818424,-0.50614579,2
54:53.4,1,-1.290401501,-0.594978536,-0.242834972,-1.416445561,-0.4571782,-0.484857241,1.581335773,0.486991423,-1.15604355,-0.284092927,1.724768143,2
54:53.4,1,-0.695796755,-1.483982271,-0.246828869,0.584737428,1.114636832,-1.039382155,1.414506986,-1.348257561,-1.234521908,-0.213561567,0.627409247,2
54:53.4,1,1.697662248,-0.681550636,-0.918177915,1.688587325,-0.024082595,0.433385124,0.45872718,-0.447334995,1.624036774,-1.677886455,-1.559599816,0
54:53.4,1,1.451488667,-1.661414366,1.718284235,-0.121487995,-1.686520074,-0.626135595,-0.059283761,1.038853269,0.738702357,1.721313739,-0.360851525,0
54:53.4,1,-0.803012648,-0.56215282,-1.418118936,-0.377504471,-1.35670087,0.788732392,-1.625390372,-0.507200417,-0.022297115,0.289710081,-0.122138161,2
54:53.4,1,0.711766443,-0.510878013,-0.960986452,-0.49585807,-1.37971238,0.628532595,1.327263476,-0.727103917,0.078598021,-1.437282588,-0.200023713,0
54:53.4,1,0.381317479,0.994863853,0.858060638,1.285810149,-0.154457952,0.395361122,0.793453499,-1.659090061,-0.97282039,0.797150707,-1.572375074,1
54:53.4,1,-1.080661275,1.623237255,-0.903364627,1.380817533,-1.707313955,1.346852562,-1.308463444,0.828788744,0.099243019,0.441400115,-0.143084601,2
54:53.4,1,0.343625083,-0.716672372,-1.269133622,-1.279856007,-0.230285507,1.468988118,-1.454479272,1.298442613,1.659742753,-1.458226042,1.001941836,2
54:53.4,1,0.512320086,0.228346009,0.16568632,-0.48121232,0.539650097,-1.265017347,-1.326286013,0.130571151,0.414738308,1.508720814,-0.15838879,2
54:53.4,1,-1.382105935,-0.330316592,0.637867436,1.388414247,-0.158868265,-0.11454082,1.429876838,-0.853568579,1.131724057,0.459699552,0.204746741,2
54:53.4,1,-0.669082095,-1.717659826,-0.457389196,-1.143427583,-0.286885656,-0.993979224,0.327478781,-0.778200433,0.180153915,0.156317874,1.592221375,2
54:53.4,1,0.838555587,1.740999474,0.252461561,1.512191039,0.432318808,1.335951732,0.706897625,-1.480550252,-0.564111142,-0.304583782,-0.886145598,0
54:53.4,1,-0.78998024,-1.119175727,-1.258505807,0.136033649,-0.747519838,0.832733276,-0.430553052,-0.771423626,-0.204615613,-0.944766875,1.025861777,2
54:53.4,1,0.164982584,0.2876657,-1.618397967,1.498809413,-0.241038964,1.259035884,0.933829228,0.088679164,-1.277762631,-1.570065194,-0.362614609,1
54:53.4,1,0.743959856,-0.036974883,1.325267653,-0.04315501,-1.345921061,1.505294638,0.875963189,-0.288146013,-1.563300128,0.675208002,1.268817406,0
54:53.4,1,0.463785832,1.736147427,-1.647680486,-0.167433315,-0.059275343,0.193431286,-1.208670827,1.592326548,1.242346464,-0.715055075,-1.200961886,1
54:53.4,1,0.026951044,1.403531748,-0.316160461,0.77632681,-1.221119992,0.468411258,0.42846083,-1.040333998,-1.390092809,-0.841406127,-0.343540835,1
54:53.4,1,1.611857717,1.194052247,-0.777289379,-0.783281685,-1.248899282,0.982293078,-1.338798029,1.426571942,-1.492141227,-0.447672973,0.383571658,2
54:53.4,1,-1.290650089,-1.476970209,0.89668437,-1.185771796,-0.283293954,1.398237558,0.308492949,-0.527069993,-0.606064143,-0.205046828,-0.86816896,2
54:53.4,1,-0.10260841,-0.419313964,-0.488139112,1.422884587,-0.740114848,0.403933672,0.073809836,1.149004406,-0.283593067,-1.407302974,-0.312008781,1
54:53.4,1,0.153684235,-1.3156739,-0.279745487,1.666345765,-1.099678033,0.626604512,0.215971224,-0.108498373,-0.609499288,-0.488194598,-0.396008312,1
54:53.4,1,-1.631107524,0.79403249,0.327724504,-1.560622031,-0.452331454,-0.811491997,-1.156020223,-1.238045077,1.148183501,-0.532845253,-0.442133236,2
54:53.4,1,-1.692917226,-0.103778465,0.456731114,-0.274827342,-0.121272071,-1.498349013,0.43127965,-1.188389585,0.179793511,1.578907381,-1.195470763,2
54:53.4,1,-0.326604452,-1.051186087,1.102214475,1.582036308,-1.58183321,0.733961576,-0.825702408,1.057746619,-1.623682818,1.539902974,1.063200332,1
54:53.4,1,-1.57677243,-0.936565742,0.773853403,-0.43435287,1.686585099,-1.122060088,-0.471485608,-1.526032578,-0.404225537,0.097549965,-0.700520257,2
54:53.4,1,-0.645231175,0.427584627,0.979968374,0.610425785,1.003998721,-1.701022903,1.446258414,-0.522413533,-0.612771048,-1.455724686,0.765837427,2
54:53.4,1,-0.441127565,1.290739201,1.243570652,-1.432496551,0.940140478,-0.059122651,0.024423327,1.058240351,-0.279253517,0.98864026,1.029537032,1
54:53.4,1,0.007900319,0.955762482,-1.605400562,-0.872623775,-0.640188532,0.193028081,1.513787645,-0.181873814,1.198914814,1.073497465,-1.670014507,1
54:53.4,1,0.169598009,-1.538729271,1.062177336,0.431326953,-0.726589508,-0.320350633,-0.008727488,0.421639908,-0.306841843,0.818482583,-0.286322494,1
54:53.4,1,-0.274819826,-0.383792909,-0.228550062,-0.358005782,0.433214637,0.72340369,1.713920241,-0.058137974,0.300631904,-1.565125974,1.67382525,1
54:53.4,1,0.344558588,-1.654876582,-0.019086012,-0.939749006,0.632964898,-0.596850441,-1.540448325,-1.544819402,-0.392824153,1.154906996,0.444580745,2
54:53.4,1,0.821357257,1.258963367,1.024462186,1.026075632,-0.317684225,-0.03083334,-0.664408006,1.242069775,1.540138593,-1.203473023,1.270642881,0
54:53.4,1,-1.30941972,1.490296608,0.345775774,0.492813847,0.872977947,-1.135636348,-1.450992416,0.798715506,-0.598755495,1.509252471,0.709269703,2
54:53.4,1,-0.358518432,-1.428716187,1.525655461,0.325657241,1.567247188,0.579910997,-1.661844473,-0.251225474,0.781576209,0.354209406,-1.14246197,2
54:53.4,1,0.548990122,-0.534281214,0.603874721,1.369569264,-0.798410188,1.089052384,0.104686236,0.477411309,0.924166121,1.045274539,1.078249192,1
54:53.4,1,-1.559447221,-0.69182812,1.212978042,0.901100773,-1.098296533,-0.789757614,-1.14214569,0.567477565,-0.039949983,1.120903152,-1.1297245,2
54:53.4,1,-1.573426911,-0.79176671,-0.294693175,0.842750483,-1.004683431,-1.689382475,-1.15397545,-0.607825696,-1.466474116,-0.232081053,1.550291018,2
54:53.4,1,-1.740801245,0.963075906,-0.719494197,-0.190902379,1.570937584,0.486723015,-1.551962879,-1.636695662,0.598197471,-0.268277272,-1.319247966,2
54:53.4,1,-1.138322266,-0.019803153,0.438435163,1.712023972,-0.962907864,0.353679182,-1.30677633,0.126589718,0.39649703,-1.051462395,-0.027459368,2
54:53.4,1,-1.157379362,0.584686154,1.453538751,-1.318444464,-1.18260972,0.407843776,0.284895385,-1.182366115,1.311667536,1.505152198,-1.003191644,2
54:53.4,1,-1.055722216,-0.813402183,-1.513659497,-0.104486436,-1.446307941,0.407186574,0.022348205,0.387297003,0.266994275,-1.079075214,-1.394712322,2
54:53.4,1,0.132757832,-0.692816172,0.253412208,-0.707044179,1.266777307,-0.502987435,-1.224167698,-0.202181613,-1.429300752,1.341316308,-1.32037262,1
54:53.4,1,-0.52104942,0.835306591,0.288398453,0.124730789,-0.675354389,0.295741203,0.185863204,1.047064505,-1.275059938,1.709301905,-1.322134615,1
54:53.4,1,0.468216718,-1.088706801,0.748135852,-1.680092086,-1.457346713,1.239194731,0.605292206,-1.493694971,-0.302414418,-1.002258584,-0.031300883,1
54:53.4,1,-1.520110575,1.082530689,0.201762113,-1.200677499,-0.467050577,0.929375756,0.100214698,0.950327288,-1.60926381,0.308127295,0.077787102,2
54:53.4,1,-0.198141897,-0.177051885,-1.369398327,0.112652208,1.052430959,-1.386486193,-1.090741194,1.470046702,0.096310618,1.067703649,0.947953564,1
